VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,RateCodeID,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,total_amount
2,2015-01-01 18:00:09,2015-01-01 18:03:34,6,0.85,-73.98161315917969,40.78380966186523,1,N,-73.9735336303711,40.7936897277832,1,5.0,0.0,0.5,1.0,0.0,6.8
2,2015-01-01 18:00:09,2015-01-01 18:29:32,1,5.08,-73.9810562133789,40.76018905639648,1,N,-73.99217224121094,40.710670471191406,2,24.0,0.0,0.5,0.0,0.0,24.8
1,2015-01-01 18:00:09,2015-01-01 18:14:14,1,3.4,-73.96452331542969,40.79206848144531,1,N,-73.9973373413086,40.752037048339844,1,13.0,0.0,0.5,1.2,0.0,15.0
1,2015-01-01 18:00:09,2015-01-01 18:12:29,1,3.1,-73.95919036865234,40.78326797485352,1,N,-73.98786926269531,40.75973510742188,2,12.0,0.0,0.5,0.0,0.0,12.8
2,2015-01-01 18:00:09,2015-01-01 18:27:04,1,6.23,-74.00446319580078,40.74205017089844,1,N,-73.92942047119139,40.765296936035156,1,23.0,0.0,0.5,2.0,0.0,25.8
1,2015-01-01 18:00:09,2015-01-01 18:06:16,1,1.1,-73.98359680175781,40.75064468383789,1,N,-73.97162628173827,40.75076293945313,2,6.5,0.0,0.5,0.0,0.0,7.3
2,2015-01-01 18:00:10,2015-01-01 18:15:13,6,2.74,-73.973876953125,40.783016204833984,1,N,-73.97727203369139,40.753013610839844,2,12.5,0.0,0.5,0.0,0.0,13.3
2,2015-01-01 18:00:10,2015-01-01 18:13:51,1,3.0,-73.97457885742188,40.74826049804688,1,N,-74.00418853759766,40.72193145751953,1,12.5,0.0,0.5,1.0,0.0,14.3
1,2015-01-01 18:00:10,2015-01-01 18:03:04,2,0.6,-73.97766876220702,40.7582893371582,1,N,-73.98326873779298,40.75017166137695,2,4.5,0.0,0.5,0.0,0.0,5.3
1,2015-01-01 18:00:10,2015-01-01 18:07:22,2,1.7,-73.98067474365234,40.77477264404297,1,N,-73.9603271484375,40.77542495727539,2,8.0,0.0,0.5,0.0,0.0,8.8
1,2015-01-01 18:00:10,2015-01-01 18:12:45,3,0.9,-73.99444580078125,40.760906219482415,1,N,-73.9791259765625,40.75468444824219,2,9.0,0.0,0.5,0.0,0.0,9.8
1,2015-01-01 18:00:11,2015-01-01 18:02:42,1,1.0,-73.97510528564453,40.753196716308594,1,N,-73.98458862304686,40.7427864074707,1,4.5,0.0,0.5,1.0,0.0,6.3
2,2015-01-01 18:00:11,2015-01-01 18:05:41,1,1.1,-73.96546936035155,40.76591873168945,1,N,-73.98188781738281,40.768959045410156,2,6.0,0.0,0.5,0.0,0.0,6.8
2,2015-01-01 18:00:11,2015-01-01 18:06:38,2,1.48,-74.00051116943358,40.762073516845696,1,N,-73.98178100585938,40.763755798339844,1,7.0,1.0,0.5,2.0,0.0,10.8
2,2015-01-01 18:00:11,2015-01-01 18:08:35,2,1.52,-73.9935302734375,40.73430252075195,1,N,-73.9935302734375,40.73430252075195,1,7.5,0.0,0.5,1.5,0.0,9.8
1,2015-01-01 18:00:11,2015-01-01 18:06:43,2,1.2,-73.97659301757811,40.780517578125,1,N,-73.97949981689453,40.78937149047852,1,6.5,0.0,0.5,1.45,0.0,8.75
2,2015-01-01 18:00:12,2015-01-01 18:06:45,1,1.32,-73.94947814941406,40.772560119628906,1,N,-73.94978332519531,40.77254867553711,2,6.0,0.0,0.5,0.0,0.0,6.8
