u,v,length
42427168,42427164,73.289
42427185,60926076,77.758
42427185,42427190,108.22
42427185,42428094,196.401
42427190,42430951,82.684
42427190,42427196,141.077
42427190,42427185,108.22
42427190,42444097,85.516
42427196,42427206,142.92
42427196,42427190,141.077
42427206,42454089,81.211
42427206,42427212,197.87
42427206,42427196,142.92
42427212,1763608189,76.597
42427212,42427206,197.87
42427212,42427216,248.614
42427216,42436297,308.769
42427216,1205714875,268.892
42427216,42428144,86.893
42427216,42427212,248.614
42427236,42427242,214.634
42427242,42459820,35.362
42427242,42457311,75.977
42427249,42427251,95.027
42427249,42444424,39.596
42427251,42427254,58.203
42427251,42454798,37.384
42427251,42440350,77.853
42427254,42452708,33.742
42427254,42427256,90.418
42427256,42440356,65.984
42427256,42444242,30.226
42427278,4561384853,58.327
42427278,9121386338,9.14
42427300,42427305,75.15
42427300,42445466,88.89
42427300,42425955,162.044
42427305,42445474,86.939
42427305,42427307,149.974
42427307,42427311,89.296
42427307,42445481,75.213
42427311,42427316,51.67
42427311,42447255,76.727
42427316,42427319,85.395
42427316,5706569898,66.981
42427316,42440810,74.906
42427319,42427322,31.416
42427322,42427324,116.2
42427322,42439580,59.885
42427324,42439207,42.411
42427324,42427327,135.463
42427327,42430041,71.921
42427327,42432165,52.119
42427335,11038072465,7.222
42427335,42427337,111.464
42427335,42440408,222.814
42427337,42427340,64.718
42427340,42427345,59.346
42427340,42435538,72.322
42427345,42429806,80.252
42427345,7500756892,30.033
42427346,42437067,79.392
42427346,42427352,136.634
42427352,7552138519,135.31
42427352,42427358,141.333
42427358,1919595922,14.166
42427358,42449874,231.638
42427369,42428183,116.167
42427369,42454378,74.049
42427371,42427369,309.291
42427371,42430265,74.531
42427374,42427371,273.814
42427374,42439834,74.431
42427381,42427374,274.183
42427381,5849918502,74.161
42427386,42427381,277.697
42427386,42444916,74.051
42427390,42427393,224.077
42427390,42427386,269.908
42427390,42443676,73.783
42427393,42443677,79.56
42427411,9802614802,8.914
42427411,42427412,74.973
42427412,272196096,59.237
42427412,42440628,76.044
42427412,4145424858,64.176
42427412,9802614802,74.837
42427423,42428206,309.34
42427423,42430274,78.338
42427426,42427423,273.893
42427426,42437890,83.593
42427427,42427426,273.776
42427427,42435629,78.583
42427477,9657516446,10.15
42427477,42437909,82.653
42427483,42453630,78.497
42427483,42427477,270.126
42427494,246580797,17.933
42427494,42445314,170.497
42427494,246580466,163.146
42427504,42444884,77.69
42427504,60915682,145.597
42427507,1544809872,21.836
42427507,42427504,132.355
42427507,1544809889,89.292
42427519,42436734,87.71
42427523,42427519,79.081
42427531,42427523,79.261
42427531,42448607,168.749
42427538,42427531,79.149
42427538,42448611,203.239
42427649,42427538,452.936
42427649,42438839,108.089
42427735,42427649,494.788
42427735,42433797,132.386
42427735,42438839,396.92
42427735,42447399,78.53
42427742,42452117,84.432
42427742,7499263656,38.657
42427744,42427742,77.979
42427744,7476469426,149.972
42427744,42432000,260.209
42427744,42437786,121.459
42427750,370888101,204.552
42427750,7476469426,77.184
42427762,42432818,86.317
42427762,42445947,155.853
42427764,42427762,62.767
42427768,42433346,80.059
42427768,42437942,79.331
42427769,42427768,134.244
42427769,1762221470,80.341
42427769,42433138,53.673
42427773,42427769,97.32
42427773,42433138,113.154
42427773,42437944,83.968
42427780,42427782,84.298
42427780,42429109,51.422
42427780,42429104,134.519
42427782,42427780,84.298
42427782,42454300,159.621
42427786,42427787,170.269
42427786,42438544,79.13
42427787,42427797,140.679
42427787,42428223,85.33
42427797,42430288,77.845
42427797,42427805,275.481
42427805,42427812,270.43
42427805,42438547,79.709
42427812,9143542440,278.75
42427812,4443775464,78.073
42427821,42437693,79.092
42427821,42427824,274.63
42427824,42430603,78.162
42427824,42427828,264.898
42427828,4899886584,19.144
42427828,42437699,83.059
42427834,1795811317,192.345
42427834,7541804761,85.367
42427834,42445585,78.432
42427844,1763749977,7.999
42427844,42427846,30.322
42427844,42429174,176.286
42427846,1764647103,23.33
42427849,1764647103,77.385
42427849,42427852,78.327
42427852,42431177,243.482
42427852,42427855,78.926
42427852,42427849,78.327
42427855,42429212,228.416
42427855,42427859,85.228
42427855,42427852,78.926
42427859,42432789,121.149
42427859,42432795,119.906
42427859,42427863,210.097
42427859,42427855,85.228
42427863,42437921,119.605
42427863,42445635,121.867
42427863,42427867,176.294
42427863,42427859,210.097
42427867,42437923,119.138
42427867,42427863,176.294
42427867,42427870,176.672
42427867,42446604,122.114
42427870,42427873,131.061
42427870,42431242,118.85
42427870,42431252,122.114
42427870,42427867,176.672
42427873,42455705,90.445
42427873,42427877,129.415
42427873,42437925,118.762
42427873,42427870,131.061
42427877,42445773,27.281
42427877,42455705,156.828
42427877,42427873,129.415
42427881,42427883,78.598
42427881,42439620,88.29
42427883,42427881,78.598
42427883,4205440429,49.231
42427883,42427888,79.327
42427888,42427891,80.699
42427888,42427883,79.327
42427891,42432980,83.188
42427891,42427894,151.703
42427891,42427888,80.699
42427894,4515465264,12.056
42427894,42439653,52.391
42427894,42427891,151.703
42427915,42440397,974.437
42427915,42433564,85.709
42427915,42443280,274.223
42427915,42424225,324.597
42427926,1544809891,18.594
42427926,42429287,167.531
42427934,42437835,234.836
42427934,1544782721,75.553
42427936,42427934,106.743
42427936,42437834,99.025
42427939,42427936,87.905
42427956,42421960,66.408
42427956,42437536,80.52
42427956,42431889,220.328
42427965,42424672,78.256
42427965,42436531,217.176
42427965,42427968,79.292
42427968,42427965,79.292
42427968,42427970,81.139
42427968,42451332,70.685
42427970,42429986,214.653
42427970,4886250352,54.182
42427970,42427968,81.139
42427970,42427972,78.104
42427972,42427975,79.91
42427972,42427970,78.104
42427975,42427972,79.91
42427975,42427979,79.705
42427979,42447237,215.37
42427979,42427975,79.705
42427979,42427985,79.007
42427985,42437451,214.343
42427985,42427979,79.007
42427985,42427991,79.56
42427991,1733612450,132.267
42427991,42427985,79.56
42427991,42427996,79.039
42427996,42455695,215.522
42427996,42427991,79.039
42427996,42428003,79.308
42428003,9906953435,62.989
42428003,42427996,79.308
42428003,42428005,81.148
42428005,42445247,215.974
42428005,4205892229,68.155
42428005,42428007,85.992
42428005,42428003,81.148
42428007,596799866,181.739
42428007,42436492,216.717
42428007,42428005,85.992
42428007,42428010,86.653
42428010,596799891,178.943
42428010,42438805,216.804
42428010,42428012,80.064
