index,osmid,y,x,street_count,highway,ref,geometry
691,42439952,40.7516588,-73.9901341,4,traffic_signals,,POINT (-73.9901341 40.7516588)
692,42439955,40.7522886,-73.9896878,4,traffic_signals,,POINT (-73.9896878 40.7522886)
693,42440323,40.7394943,-73.9867925,4,traffic_signals,,POINT (-73.9867925 40.7394943)
694,42440325,40.7388463,-73.9852411,4,traffic_signals,,POINT (-73.9852411 40.7388463)
695,42440326,40.7381579,-73.983638,4,traffic_signals,,POINT (-73.983638 40.7381579)
696,42440330,40.7372187,-73.9813983,4,traffic_signals,,POINT (-73.9813983 40.7372187)
697,42440401,40.7215294,-73.9837985,4,traffic_signals,,POINT (-73.9837985 40.7215294)
698,42440408,40.7159749,-73.9866936,4,traffic_signals,,POINT (-73.9866936 40.7159749)
699,42440527,40.7297049,-74.0092082,4,traffic_signals,,POINT (-74.0092082 40.7297049)
700,42440545,40.7282036,-73.995585,4,traffic_signals,,POINT (-73.995585 40.7282036)
701,42440553,40.7293265,-73.9978721,4,traffic_signals,,POINT (-73.9978721 40.7293265)
702,42440679,40.7146759,-73.9911284,4,,,POINT (-73.9911284 40.7146759)
703,42440682,40.715805,-73.9905591,4,,,POINT (-73.9905591 40.715805)
704,42440686,40.7169795,-73.9899465,4,traffic_signals,,POINT (-73.9899465 40.7169795)
705,42440710,40.7360074,-73.9936325,4,traffic_signals,,POINT (-73.9936325 40.7360074)
706,42440721,40.7344321,-73.9898963,4,traffic_signals,,POINT (-73.9898963 40.7344321)
707,42440729,40.7332953,-73.9871802,4,traffic_signals,,POINT (-73.9871802 40.7332953)
708,42440737,40.732353,-73.9849374,4,traffic_signals,,POINT (-73.9849374 40.732353)
709,42440743,40.7313572,-73.9825575,4,traffic_signals,,POINT (-73.9825575 40.7313572)
710,42440754,40.7284581,-73.9756825,4,traffic_signals,,POINT (-73.9756825 40.7284581)
711,42440785,40.7144205,-73.9902265,3,traffic_signals,,POINT (-73.9902265 40.7144205)
712,42440792,40.7149028,-73.9918872,4,,,POINT (-73.9918872 40.7149028)
713,42440798,40.7156219,-73.9942657,4,traffic_signals,,POINT (-73.9942657 40.7156219)
714,42440804,40.7165615,-73.9969813,4,traffic_signals,,POINT (-73.9969813 40.7165615)
715,42440810,40.7175538,-73.9993088,4,traffic_signals,,POINT (-73.9993088 40.7175538)
716,42440820,40.719915,-74.0025862,3,traffic_signals,,POINT (-74.0025862 40.719915)
717,42440825,40.720515,-74.0034205,3,traffic_signals,,POINT (-74.0034205 40.720515)
718,42440829,40.7213666,-74.0046193,4,traffic_signals,,POINT (-74.0046193 40.7213666)
719,42440838,40.7225692,-74.006317,4,traffic_signals,,POINT (-74.006317 40.7225692)
720,42440847,40.7243158,-74.0086711,3,,,POINT (-74.0086711 40.7243158)
721,42440850,40.7253005,-74.0100926,3,traffic_signals,,POINT (-74.0100926 40.7253005)
722,42440854,40.7258067,-74.01093,4,traffic_signals,,POINT (-74.01093 40.7258067)
723,42440873,40.7250621,-74.0100729,3,traffic_signals,,POINT (-74.0100729 40.7250621)
724,42440916,40.7222194,-74.0105578,4,traffic_signals,,POINT (-74.0105578 40.7222194)
725,42440918,40.7223272,-74.0116275,4,traffic_signals,,POINT (-74.0116275 40.7223272)
726,42440940,40.736839,-74.003714,4,,,POINT (-74.003714 40.736839)
727,42440943,40.7361909,-74.0083227,4,,,POINT (-74.0083227 40.7361909)
728,42440946,40.7359739,-74.0099198,3,,,POINT (-74.0099198 40.7359739)
729,42442230,40.7213148,-73.9947014,4,traffic_signals,,POINT (-73.9947014 40.7213148)
730,42442247,40.7223037,-73.9971275,5,traffic_signals,,POINT (-73.9971275 40.7223037)
731,42442255,40.7226691,-73.9979746,4,traffic_signals,,POINT (-73.9979746 40.7226691)
732,42442269,40.723423,-73.999609,4,traffic_signals,,POINT (-73.999609 40.723423)
733,42442273,40.723795,-74.000367,4,traffic_signals,,POINT (-74.000367 40.723795)
734,42442276,40.724552,-74.001933,3,traffic_signals,,POINT (-74.001933 40.724552)
735,42442286,40.7256753,-74.0057082,4,traffic_signals,,POINT (-74.0057082 40.7256753)
736,42442288,40.7259304,-74.0083464,3,,,POINT (-74.0083464 40.7259304)
737,42442291,40.7260808,-74.0099015,4,,,POINT (-74.0099015 40.7260808)
738,42442294,40.7261761,-74.0108723,3,,,POINT (-74.0108723 40.7261761)
739,42442788,40.7190823,-73.9763832,4,,,POINT (-73.9763832 40.7190823)
740,42442836,40.723793,-73.9912412,3,,,POINT (-73.9912412 40.723793)
741,42442838,40.7241092,-73.9909579,3,,,POINT (-73.9909579 40.7241092)
742,42442842,40.7242809,-73.9908333,4,traffic_signals,,POINT (-73.9908333 40.7242809)
743,42442843,40.7249299,-73.9903454,4,traffic_signals,,POINT (-73.9903454 40.7249299)
744,42442848,40.726188,-73.989429,4,traffic_signals,,POINT (-73.989429 40.726188)
