index,osmid,y,x,highway,street_count,ref,geometry
8656,103255392,40.8096655,-73.9923169,,1,,POINT (-73.9923169 40.8096655)
8657,103255677,40.8423232,-73.9941359,,4,,POINT (-73.9941359 40.8423232)
8658,103255681,40.8436659,-73.9928011,,4,,POINT (-73.9928011 40.8436659)
8659,103255683,40.8448276,-73.9916417,,4,,POINT (-73.9916417 40.8448276)
8660,103255685,40.8462116,-73.9902481,,4,,POINT (-73.9902481 40.8462116)
8661,103255687,40.8485252,-73.9879411,,4,,POINT (-73.9879411 40.8485252)
8662,103255696,40.813841,-74.00057,,4,,POINT (-74.00057 40.813841)
8663,103255701,40.81499,-73.999545,,4,,POINT (-73.999545 40.81499)
8664,103255714,40.8632941,-73.9604472,,4,,POINT (-73.9604472 40.8632941)
8665,103255746,40.817734,-73.997096,,4,,POINT (-73.997096 40.817734)
8666,103256366,40.846648,-73.998021,,3,,POINT (-73.998021 40.846648)
8667,103256369,40.8478272,-73.9968258,,4,,POINT (-73.9968258 40.8478272)
8668,103256373,40.849209,-73.99544,,4,,POINT (-73.99544 40.849209)
8669,103256375,40.851508,-73.993112,,4,,POINT (-73.993112 40.851508)
8670,103256510,40.8153344,-73.9924127,,3,,POINT (-73.9924127 40.8153344)
8671,103256512,40.81598,-73.991934,,1,,POINT (-73.991934 40.81598)
8672,103256515,40.866504,-73.96434,,3,,POINT (-73.96434 40.866504)
8673,103256521,40.8679535,-73.9629168,,3,,POINT (-73.9629168 40.8679535)
8674,103256836,40.8638533,-73.9915326,,3,,POINT (-73.9915326 40.8638533)
8675,103256841,40.8757672,-73.9843598,,3,,POINT (-73.9843598 40.8757672)
8676,103258427,40.873202,-74.02361,,4,,POINT (-74.02361 40.873202)
8677,103258431,40.8722374,-74.0216259,,3,,POINT (-74.0216259 40.8722374)
8678,103258510,40.8639388,-74.0242615,,4,,POINT (-74.0242615 40.8639388)
8679,103258512,40.863697,-74.0234419,,3,,POINT (-74.0234419 40.863697)
8680,103258600,40.8213641,-74.0062579,,1,,POINT (-74.0062579 40.8213641)
8681,103258703,40.840225,-73.9905399,,3,,POINT (-73.9905399 40.840225)
8682,103258705,40.84159,-73.989215,,4,,POINT (-73.989215 40.84159)
8683,103258708,40.8427267,-73.9880459,,4,,POINT (-73.9880459 40.8427267)
8684,103258750,40.8506183,-73.98043,turning_circle,1,,POINT (-73.98043 40.8506183)
8685,103258751,40.851717,-73.979362,,3,,POINT (-73.979362 40.851717)
8686,103258755,40.8453829,-73.9854219,,1,,POINT (-73.9854219 40.8453829)
8687,103258775,40.848956,-73.981855,,3,,POINT (-73.981855 40.848956)
8688,103259849,40.8258379,-73.9937559,,1,,POINT (-73.9937559 40.8258379)
8689,103260362,40.859637,-73.982719,,3,,POINT (-73.982719 40.859637)
8690,103260366,40.8605929,-73.981961,,3,,POINT (-73.981961 40.8605929)
8691,103260486,40.8788732,-73.9922461,,1,,POINT (-73.9922461 40.8788732)
8692,103261351,40.813047,-73.99987,,1,,POINT (-73.99987 40.813047)
8693,103262199,40.8755685,-73.9844711,,3,,POINT (-73.9844711 40.8755685)
8694,103262295,40.8714678,-73.9867262,,3,,POINT (-73.9867262 40.8714678)
8695,103262302,40.870442,-73.9845164,,4,,POINT (-73.9845164 40.870442)
8696,103262307,40.8689969,-73.9819301,turning_circle,1,,POINT (-73.9819301 40.8689969)
8697,103262389,40.856915,-73.978216,,3,,POINT (-73.978216 40.856915)
8698,103262390,40.8578357,-73.9775515,,3,,POINT (-73.9775515 40.8578357)
8699,103262621,40.8516102,-74.0228228,,3,,POINT (-74.0228228 40.8516102)
8700,103263345,40.8159188,-73.9934656,,3,,POINT (-73.9934656 40.8159188)
8701,103263458,40.8738365,-74.0030527,,1,,POINT (-74.0030527 40.8738365)
8702,103263507,40.865614,-74.02342,,3,,POINT (-74.02342 40.865614)
8703,103263509,40.8655055,-74.0230084,,3,,POINT (-74.0230084 40.8655055)
8704,103263552,40.8508948,-73.9779202,,3,,POINT (-73.9779202 40.8508948)
8705,103263553,40.852321,-73.9804066,,3,,POINT (-73.9804066 40.852321)
8706,103263555,40.8529602,-73.9815275,,3,,POINT (-73.9815275 40.8529602)
8707,103264714,40.841045,-73.979067,,4,,POINT (-73.979067 40.841045)
8708,103264716,40.841207,-73.979348,,4,,POINT (-73.979348 40.841207)
8709,103264933,40.8695836,-73.98791,traffic_signals,3,,POINT (-73.98791 40.8695836)
8710,103264936,40.8684723,-73.9859264,,3,,POINT (-73.9859264 40.8684723)
8711,103264970,40.8202704,-73.9857382,,1,,POINT (-73.9857382 40.8202704)
8712,103265218,40.825246,-74.005493,,3,,POINT (-74.005493 40.825246)
8713,103265220,40.8250542,-74.003914,,4,,POINT (-74.003914 40.8250542)
8714,103265272,40.8337235,-73.9918511,,3,,POINT (-73.9918511 40.8337235)
8715,103265280,40.8349025,-73.9938993,,3,,POINT (-73.9938993 40.8349025)
8716,103265282,40.8353081,-73.9945979,,3,,POINT (-73.9945979 40.8353081)
8717,103265287,40.841385,-74.005248,,4,,POINT (-74.005248 40.841385)
8718,103265288,40.841688,-74.005781,,1,,POINT (-74.005781 40.841688)
8719,103265899,40.870965,-74.019773,,3,,POINT (-74.019773 40.870965)
8720,103265927,40.829905,-73.973574,,1,,POINT (-73.973574 40.829905)
8721,103266267,40.824046,-73.998987,,1,,POINT (-73.998987 40.824046)
8722,103266570,40.8635871,-74.0234682,,3,,POINT (-74.0234682 40.8635871)
8723,103266572,40.863197,-74.021696,,4,,POINT (-74.021696 40.863197)
8724,103267064,40.879768,-74.015963,,4,,POINT (-74.015963 40.879768)
8725,103267066,40.8804831,-74.0181778,,3,,POINT (-74.0181778 40.8804831)
8726,103267073,40.8806172,-74.0181078,,3,,POINT (-74.0181078 40.8806172)
8727,103267384,40.8817739,-73.9678335,,4,,POINT (-73.9678335 40.8817739)
8728,103268030,40.8748636,-74.0026429,,3,,POINT (-74.0026429 40.8748636)
8729,103268226,40.8418524,-73.9933327,,3,,POINT (-73.9933327 40.8418524)
8730,103269203,40.847036,-74.02272,,3,,POINT (-74.02272 40.847036)
8731,103269205,40.8462188,-74.0226279,,3,,POINT (-74.0226279 40.8462188)
