u,v,key,osmid,name,highway,maxspeed,oneway,reversed,length,geometry,lanes,bridge,ref,tunnel,width,access,junction
42427335,42427337,0,5669639,Pitt Street,residential,25 mph,True,False,111.464,"LINESTRING (-73.9842337 40.7152425, -73.9841854 40.7153172, -73.9839124 40.7157268, -73.9836841 40.7160694, -73.9836386 40.7161377)",2,,,,,,
42427335,42440408,0,"[1188730088, 281455419, 1188730085, 1188730086]",Grand Street,primary,25 mph,True,False,222.81400000000002,"LINESTRING (-73.9842337 40.7152425, -73.9843496 40.7152778, -73.9843884 40.7152896, -73.9845146 40.715327, -73.9846007 40.7153482, -73.9847964 40.7153962, -73.9850309 40.7154669, -73.9851075 40.7154899, -73.9853831 40.7155743, -73.9856355 40.715651, -73.9858426 40.7157118, -73.9859641 40.7157444, -73.9866325 40.7159556, -73.9866936 40.7159749)","['1', '2']",,,,,,
42427335,11038072433,0,"[1188730083, 1188730084]",Grand Street,primary,25 mph,True,False,82.18800000000002,"LINESTRING (-73.9833262 40.714972, -73.9834023 40.714995, -73.9835273 40.715032, -73.9840381 40.7151832, -73.984098 40.7152014, -73.9841356 40.7152128, -73.9842337 40.7152425)","['1', '2']",,,,,,
42427337,42427340,0,"[799403767, 1041016547, 5669639]",Pitt Street,residential,25 mph,True,False,64.718,"LINESTRING (-73.9836386 40.7161377, -73.9836184 40.7161723, -73.9835484 40.7162923, -73.9833832 40.7165752, -73.9833807 40.7165877, -73.9833624 40.7166776)",2,,,,,,
42427337,42432091,0,39662324,Broome Street,residential,25 mph,True,False,80.826,"LINESTRING (-73.9845346 40.7163967, -73.9841719 40.7162874, -73.9838472 40.7161963, -73.9837887 40.7161799, -73.9836386 40.7161377)",,,,,,,
42427340,42427345,0,25198488,Pitt Street,residential,25 mph,True,False,59.346000000000004,"LINESTRING (-73.9833624 40.7166776, -73.983149 40.7170934, -73.983139 40.7171128, -73.9831356 40.7171195, -73.9831071 40.717175)",,,,,,,
42427340,42435538,0,799407328,Delancey Street,residential,25 mph,True,False,72.322,"LINESTRING (-73.9833624 40.7166776, -73.98264 40.7164597, -73.9825651 40.7164371)",,,,,,,
42427340,42435534,0,1160297420,Delancey Street,residential,25 mph,True,False,80.25800000000001,"LINESTRING (-73.9842451 40.7169484, -73.9841679 40.7169249, -73.9835532 40.7167377, -73.9834843 40.7167167, -73.9833624 40.7166776)",,,,,,,
42427345,42429806,0,492148700,Delancey Street,residential,25 mph,True,False,80.252,"LINESTRING (-73.9831071 40.717175, -73.9832063 40.7172036, -73.9839205 40.7174089, -73.9839974 40.717431)",1,,,,,,
42427345,7500756892,0,1098734619,Pitt Street,residential,25 mph,True,False,30.033,"LINESTRING (-73.9831071 40.717175, -73.9830873 40.7172134, -73.9829775 40.7174266)",1,,,,,,
